Federal Communications Commission FCC 05-56,,,,,,,
,,,,,,,
APPENDIX E: List Of Grandfathered FSS Earth Stations,,,,,,,
,,,,,,,
State,City,Latitude,Longitude,NAD*,Call Sign,Filenumber,Licensee
CA,Chatsworth,"34°14'20.70""N","118°34'11.50""W",83,E000326,SESMOD2000112902256,McKibben Communications
CA,Livermore,"37°45'40.00""N","121°47'53.00""W",n/s,KA232,SESLIC1997103001576,"Sprint Communications Company, L.P."
CA,Malibu,"34°4'52.60""N","118°53'52.90""W",83,E980066,SESMOD2000112902218,AT&T Corp.
CA,Malibu,"34°4'50.30""N","118°53'46.40""W",n/s,KA273,SESRWL2000072401194,AT&T Corp.
CA,Malibu,"34°4'49.70""N","118°53'43.90""W",27,KA91,SESMOD1998081701067,AT&T Corp.
CA,Malibu,"34°4'51.00""N","118°53'44.00""W",27,KB32,SESMOD1998081701066,AT&T Corp.
CA,Mountain House,"37°45'0.70""N","121°35'37.80""W",83,KA206,SESMOD2000022200272,"Pacific Satellite Connection, Inc."
CA,Mountain House,"37°45'1.70""N","121°35'38.80""W",83,KA86,SESMOD2000022200265,"Pacific Satellite Connection, Inc."
CA,Salt Creek,"38°56'20.20""N","122°8'48.00""W",n/s,KA371,SESRWL1999101201864,AT&T Corp.
CA,Salt Creek,"38°56'21.00""N","122°8'49.20""W",27,KA372,SESRWL2003103101527,AT&T Corp.
CA,Salt Creek,"38°56'22.30""N","122°8'49.60""W",n/s,KA373,SESRWL2000121502350,AT&T Corp.
CA,San Ramon,"37°45'39.70""N","121°47'56.80""W",83,E6241,SESMOD2000112902270,"Sprint Communications Company, L.P."
CA,Somis,"34°19'31.00""N","118°59'41.00""W",27,KA318,SESRWL2002030500275,"SES Americom, Inc."
CA,Sylmar,"34°18'55.00""N","118°29'12.00""W",83,E6148,SESRWL2004102901607,"FiberSat Global Services, LLC"
CA,Sylmar,"34°19'4.00""N","118°29'0.00""W",27,KA274,SESRWL1999022500279,Globecast North America Incorporated
CA,Three Peaks,"38°8'51.90""N","122°47'38.00""W",83,E950208,SESMOD2001032600656,Loral Spacecom Corporation
FL,Medley,"25°51'19.00""N","80°19'52.00""W",n/s,E960068,SESLIC1995120700087,"Teleport Of The Americas, Inc."
FL,Medley,"25°50'26.00""N","80°19'3.00""W",27,E960406,SESMOD1999042201041,Globecast North America Incorporated
FL,Melbourne,"28°5'10.00""N","80°38'10.00""W",n/s,E950276,SESMOD2003051500668,Harris Corporation
FL,Melbourne,"28°2'25.00""N","80°35'48.00""W",27,KA354,SESLIC1995032300008,Melbourne International Communications Limited
FL,Miami,"25°55'33.30""N","80°13'16.20""W",83,E980299,SESMOD2000072101188,"USA Teleport, Inc."
FL,Miami,"25°48'35.00""N","80°21'10.00""W",83,KA407,SESRWL2004030500317,Americasky Corporation
FL,Miami,"25°48'35.00""N","80°21'11.00""W",n/s,KA412,SESRWL2004042200574,Americasky Corporation
FL,Miramar,"25°58'32.00""N","80°17'0.00""W",n/s,E960105,SESLIC1995122600010,GEMS International Television
FL,Orlando,"28°25'29.00""N","81°7'21.00""W",27,KA280,SESRWL2000101902129,Sprint Communications Company L.P.
GU,Pulantat,"13°25'0.00""N","144°44'57.00""E",n/s,KA28,SESLIC1997081401122,"MCI WORLDCOM Network Services, Inc."
GU,Pulantat,"13°25'5.20""N","144°45'5.70""E",83,KA326,SESMOD2000120102250,"MCI WORLDCOM Network Services, Inc."
HI,Haleiwa,"21°40'14.60""N","158°2'3.10""W",83,KA25,SESMOD2003051300642,Intelsat LLC
HI,Paumalu,"21°40'27.00""N","158°2'16.00""W",27,KA265,SESMOD2002040500579,Intelsat LLC
HI,Paumalu,"21°40'15.50""N","158°2'6.10""W",83,KA266,SESMOD2004081801190,Intelsat LLC
HI,Paumalu,"21°40'14.10""N","158°2'6.10""W",83,KA267,SESMOD2004081801191,Intelsat LLC
HI,Paumalu,"21°40'25.00""N","158°2'16.00""W",27,KA268,SESMOD2002040500583,Intelsat LLC
